['Evroopt', 55.1092859, 82.9486227, 1, 1, [0, 0, 1]],
['Evroopt', 53.9173465, 27.4296282, 2, 2, [1, 0, 1]],
['Evroopt', 53.85553245, 27.5111398233851, 3, 2, [1, 1, 0]],
['Evroopt', 53.8581714, 27.4329314, 6, 1, [0, 1, 0]],
['Evroopt', 53.9474229, 27.6827577, 7, 1, [1, 0, 0]],
['Evroopt', 54.3245586, 26.8396206009333, 9, 2, [1, 1, 0]],
['Evroopt', 52.8087004, 28.0298727, 10, 3, [1, 1, 1]],
['Evroopt', 53.8659382, 27.609139761438, 11, 2, [0, 1, 1]],
['Evroopt', 52.1852302, 25.1187116, 14, 0, [0, 0, 0]],
['Evroopt', 53.91135, 27.48668, 15, 2, [1, 0, 1]],
['Evroopt', 53.8834451, 27.6815164, 16, 1, [0, 0, 1]],
['Evroopt', 53.8975401, 27.4937814006999, 18, 1, [1, 0, 0]],
['Evroopt', 53.8999645, 27.4413089, 19, 2, [1, 0, 1]],
['Evroopt', 53.91125045, 27.5023172549801, 20, 3, [1, 1, 1]],
['Evroopt', 53.879877, 27.6360709, 21, 1, [0, 1, 0]],
['Evroopt', 53.8995681, 27.5753446, 22, 2, [1, 0, 1]],
['Evroopt', 53.9116667, 27.5137115, 23, 3, [1, 1, 1]],
['Evroopt', 54.0147634, 27.4254139, 24, 1, [1, 0, 0]],
['Evroopt', 53.9052269, 27.5380563, 25, 3, [1, 1, 1]],
['Evroopt', 54.0928127, 26.508113, 26, 0, [0, 0, 0]],
['Evroopt', 53.8505359, 27.700269, 28, 1, [0, 0, 1]],
['Evroopt', 53.8781551, 27.5473573, 29, 1, [0, 0, 1]],
['Evroopt', 53.7450985, 27.6862405, 30, 0, [0, 0, 0]],
['Evroopt', 53.7892653, 27.5873203, 31, 1, [1, 0, 0]],
['Evroopt', 53.8458095, 27.6416996650756, 32, 0, [0, 0, 0]],
['Evroopt', 54.324513, 26.8394665, 33, 2, [1, 0, 1]],
['Evroopt', 54.3254754, 26.88291, 35, 3, [1, 1, 1]],
['Evroopt', 53.90346465, 27.4561184566654, 36, 2, [0, 1, 1]],
['Evroopt', 53.8786949, 27.4544787, 37, 2, [1, 0, 1]],
